id,product_name,description,category,image_path,brand,color,size
1,laptops_1,asus gaming laptop,laptops,dataset/images/1.jpg,Apple,White,Small
2,laptops_2,a black desk with a laptop and a mouse,laptops,dataset/images/2.jpg,Dell,Black,Medium
3,laptops_3,a table with two laptops,laptops,dataset/images/3.jpg,Apple,Silver,Medium
4,laptops_4,a laptop on a table,laptops,dataset/images/4.jpg,Lenovo,Blue,Medium
5,laptops_5,asus x1 laptop with intel intel processor,laptops,dataset/images/5.jpg,Apple,Blue,Medium
6,laptops_6,a large selection of laptops,laptops,dataset/images/6.jpg,Asus,Red,Small
7,laptops_7,a laptop with windows on the screen,laptops,dataset/images/7.jpg,Asus,White,Medium
8,laptops_8,a laptop with the words which one is the best?,laptops,dataset/images/8.jpg,Lenovo,Gold,Medium
9,laptops_9,many different laptops on a pink background,laptops,dataset/images/9.jpg,Dell,Gold,Large
10,laptops_10,a laptop with a fire on the screen,laptops,dataset/images/10.jpg,Dell,Blue,Large
11,laptops_11,a laptop on a wooden table,laptops,dataset/images/11.jpg,Dell,Blue,Medium
12,laptops_12,a black table,laptops,dataset/images/12.jpg,HP,White,Large
13,laptops_13,a laptop with a fire on the screen,laptops,dataset/images/13.jpg,Asus,Blue,Medium
14,laptops_14,a laptop computer,laptops,dataset/images/14.jpg,Asus,Black,Medium
15,laptops_15,a white laptop on a table,laptops,dataset/images/15.jpg,Asus,Blue,Medium
16,laptops_16,three laptops on a white pedestal,laptops,dataset/images/16.jpg,Lenovo,Silver,Large
17,laptops_17,acer core core core m5 - core core i5 - 5200 - 2gb - 32,laptops,dataset/images/17.jpg,HP,Black,Large
18,laptops_18,a gaming room with a computer and a monitor,laptops,dataset/images/18.jpg,Lenovo,Black,Small
19,laptops_19,the new macbook air,laptops,dataset/images/19.jpg,Dell,Blue,Large
20,laptops_20,asus asus - x7 - 15 gaming laptop,laptops,dataset/images/20.jpg,Apple,Silver,Small
21,laptops_21,the leap of singularity,laptops,dataset/images/21.jpg,Asus,Blue,Small
22,laptops_22,a laptop with a keyboard and a mouse,laptops,dataset/images/22.jpg,Asus,Gold,Small
23,laptops_23,a laptop on a table,laptops,dataset/images/23.jpg,HP,Red,Small
24,laptops_24,hp pavilion 15 - c077t - i5 - 6200mh - 8gb,laptops,dataset/images/24.jpg,Dell,Red,Large
25,laptops_25,hp envy envy envy envy envy envy envy envy envy envy envy envy envy envy envy envy envy envy envy,laptops,dataset/images/25.jpg,Lenovo,Gold,Small
26,laptops_26,asus gaming laptop,laptops,dataset/images/26.jpg,Dell,Silver,Large
27,laptops_27,a black and green background,laptops,dataset/images/27.jpg,Dell,Silver,Large
28,laptops_28,a laptop computer,laptops,dataset/images/28.jpg,HP,Red,Medium
29,laptops_29,a row of laptops,laptops,dataset/images/29.jpg,Apple,Blue,Small
30,laptops_30,dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell,laptops,dataset/images/30.jpg,Dell,Black,Medium
31,laptops_31,a laptop with a colorful background,laptops,dataset/images/31.jpg,Lenovo,Black,Small
32,laptops_32,asus x7 laptop review,laptops,dataset/images/32.jpg,HP,Red,Small
33,laptops_33,the asus laptop is on a wooden table,laptops,dataset/images/33.jpg,HP,Black,Large
34,laptops_34,a laptop on a table with a person sitting on the floor,laptops,dataset/images/34.jpg,Asus,Gold,Small
35,laptops_35,asus notebook 15,laptops,dataset/images/35.jpg,Dell,Blue,Small
36,laptops_36,asus gaming laptop asus gaming laptop asus gaming laptop asus gaming laptop asus gaming laptop,laptops,dataset/images/36.jpg,Asus,Blue,Small
37,laptops_37,a laptop with a screen and keyboard,laptops,dataset/images/37.jpg,HP,Blue,Small
38,laptops_38,asus gaming laptops,laptops,dataset/images/38.jpg,Dell,Gold,Medium
39,laptops_39,hp elitebook x2 - 15 6 - inch laptop,laptops,dataset/images/39.jpg,Asus,Silver,Large
40,laptops_40,a pile of laptops sitting on top of each other laptops,laptops,dataset/images/40.jpg,Asus,White,Small
41,laptops_41,a laptop with a alien logo on the screen,laptops,dataset/images/41.jpg,Apple,Blue,Large
42,laptops_42,hp envy envy 15 - c077t - i5 - 8250u 8gb ram,laptops,dataset/images/42.jpg,Lenovo,Red,Medium
43,laptops_43,the len len len len len len len len len len len len len len len len len len len,laptops,dataset/images/43.jpg,Apple,Red,Large
44,laptops_44,asus asus - x10 - x1 - 15 6 - inch - intel - core -,laptops,dataset/images/44.jpg,Dell,Blue,Large
45,laptops_45,hp pavilion 15 - c000n - i5 - 8250u - 4gb ram 16,laptops,dataset/images/45.jpg,Dell,Silver,Small
46,laptops_46,hp pavilion 15 - c300n - i5 - 6200mh - i5 -,laptops,dataset/images/46.jpg,Apple,Silver,Large
47,laptops_47,a laptop with a keyboard and mouse,laptops,dataset/images/47.jpg,HP,Silver,Small
48,laptops_48,a laptop with a blue cover,laptops,dataset/images/48.jpg,HP,Blue,Medium
49,laptops_49,a laptop on a table,laptops,dataset/images/49.jpg,Asus,White,Large
50,laptops_50,the new macbook is coming,laptops,dataset/images/50.jpg,Dell,Gold,Medium
51,laptops_51,a black background,laptops,dataset/images/51.jpg,Asus,Black,Large
52,laptops_52,hp envy envy envy laptop,laptops,dataset/images/52.jpg,Dell,Blue,Medium
53,laptops_53,a laptop computer,laptops,dataset/images/53.jpg,Dell,White,Medium
54,laptops_54,acer core core core core core core core core core core core core core core core core core core,laptops,dataset/images/54.jpg,Dell,Gold,Small
55,laptops_55,a laptop with a screen on a white surface,laptops,dataset/images/55.jpg,Lenovo,Gold,Medium
56,laptops_56,hp pavilion 15 - c077t - i5 - 8250u - 8gb ram,laptops,dataset/images/56.jpg,Lenovo,Blue,Small
57,laptops_57,hp envy envy 15 - c077t - i5 - 8250u 8gb ram,laptops,dataset/images/57.jpg,Apple,Red,Medium
58,laptops_58,a laptop and a laptop computer,laptops,dataset/images/58.jpg,Dell,White,Medium
59,laptops_59,a laptop on a white desk,laptops,dataset/images/59.jpg,HP,Blue,Small
60,laptops_60,a laptop with a pink background,laptops,dataset/images/60.jpg,Apple,Gold,Large
61,laptops_61,hp pavilion 15 - c0000n - i5 - 8250u - 8gb ram -,laptops,dataset/images/61.jpg,Lenovo,Blue,Medium
62,laptops_62,a laptop with the word ' 10 ' on it,laptops,dataset/images/62.jpg,Dell,Blue,Medium
63,laptops_63,a laptop with a red cover and a white background,laptops,dataset/images/63.jpg,Dell,Red,Small
64,laptops_64,a laptop with windows on the screen,laptops,dataset/images/64.jpg,HP,Gold,Small
65,laptops_65,asus asus asus asus asus asus asus asus asus asus,laptops,dataset/images/65.jpg,HP,Blue,Large
66,laptops_66,dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell,laptops,dataset/images/66.jpg,Lenovo,Gold,Small
67,laptops_67,hp envy envy 15 - c005t - i5 - 8250u - 8gb,laptops,dataset/images/67.jpg,Asus,Silver,Medium
68,laptops_68,asus asus - x71 - s1 - 15 6 - inch - intel - core,laptops,dataset/images/68.jpg,Dell,White,Large
69,laptops_69,dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell dell,laptops,dataset/images/69.jpg,Apple,Silver,Small
70,laptops_70,a group of laptops,laptops,dataset/images/70.jpg,Lenovo,Black,Large
71,watches_71,the new watches,watches,dataset/images/71.jpg,Rolex,Blue,Large
72,watches_72,a watch on a table with a reflection,watches,dataset/images/72.jpg,Titan,Blue,Small
73,watches_73,three watches with different styles,watches,dataset/images/73.jpg,Casio,White,Medium
74,watches_74,roleking roleking roleking roleking roleking roleking roleking roleking roleking roleking,watches,dataset/images/74.jpg,Titan,Gold,Small
75,watches_75,best smart watches under $ 100,watches,dataset/images/75.jpg,Rolex,White,Large
76,watches_76,many watches are stacked together,watches,dataset/images/76.jpg,Rolex,Blue,Medium
77,watches_77,roleking roleking roleking roleking roleking roleking roleking roleking roleking roleking,watches,dataset/images/77.jpg,Fossil,Gold,Small
78,watches_78,a couple of watches on display,watches,dataset/images/78.jpg,Apple,Black,Large
79,watches_79,a watch with a black dial and a green face,watches,dataset/images/79.jpg,Titan,Silver,Medium
80,watches_80,a watch with blue leather strap,watches,dataset/images/80.jpg,Rolex,White,Small
81,watches_81,three watches on display,watches,dataset/images/81.jpg,Apple,Gold,Large
82,watches_82,a row of watches on a shelf,watches,dataset/images/82.jpg,Casio,Gold,Small
83,watches_83,a row of watches,watches,dataset/images/83.jpg,Titan,Gold,Medium
84,watches_84,the new watches from the new collection,watches,dataset/images/84.jpg,Casio,Black,Small
85,watches_85,a watch on a white stand,watches,dataset/images/85.jpg,Rolex,Red,Large
86,watches_86,a gold role watch on a wooden table - stock image,watches,dataset/images/86.jpg,Rolex,Blue,Small
87,watches_87,a watch on a black surface,watches,dataset/images/87.jpg,Fossil,Gold,Small
88,watches_88,a watch sitting on a rock in the woods,watches,dataset/images/88.jpg,Apple,Blue,Large
89,watches_89,a watch on a rock,watches,dataset/images/89.jpg,Apple,Silver,Large
90,watches_90,a watch with blue dial,watches,dataset/images/90.jpg,Apple,Red,Large
91,watches_91,the watch is on a black surface,watches,dataset/images/91.jpg,Titan,Silver,Large
92,watches_92,a woman wearing a watch,watches,dataset/images/92.jpg,Rolex,Red,Medium
93,watches_93,a watch with gears on it,watches,dataset/images/93.jpg,Apple,Gold,Medium
94,watches_94,apple watch series 5 gps + cellular + cellular + cellular + cellular + cellular + cellular + cellular +,watches,dataset/images/94.jpg,Titan,Blue,Large
95,watches_95,a watch on a black stand,watches,dataset/images/95.jpg,Rolex,White,Small
96,watches_96,casio digital watch,watches,dataset/images/96.jpg,Titan,Blue,Small
97,watches_97,the pyramid of wealth,watches,dataset/images/97.jpg,Fossil,Blue,Medium
98,watches_98,a black and white watch with a gold face,watches,dataset/images/98.jpg,Casio,Blue,Medium
99,watches_99,a group of three watches,watches,dataset/images/99.jpg,Casio,Black,Small
